Property Link,Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Lot Size,Units,Price/Unit,NOI,Cap Rate,Asking Price,Price/SqFt,Price/Acre,Days on Market,Opportunity Zone,Longitude,Latitude
https://www.crexi.com/properties/2148651/new-york-54-avenue-w,54 Avenue W,On-Market,Multifamily,54 Avenue W,New York,NY,11223,,,,6512.0,0.0918,6.0,,,,3280000.0,503.685503685504,35729847.4945534,56.0,No,-73.9825208,40.591182
https://www.crexi.com/properties/2192532/new-york-1926-83rd-street,1926 83rd Street,On-Market,Multifamily,1926 83rd Street,New York,NY,11214,,,,,0.0918,12.0,,,,1899000.0,,20686274.5098039,18.0,No,-73.998207,40.6071507
https://www.crexi.com/properties/1899778/new-york-3022-brighton-8th-st,3022 brighton 8th st,On-Market,Multifamily,3022 Brighton 8th St,Brooklyn,NY,11235,,,,1974.0,,10.0,220000.0,201951.0,9.18,2200000.0,1114.49,,179.0,Yes,-73.9607024,40.5793471
https://www.crexi.com/properties/2095380/new-york-1717-78th-street,1717 78th Street,On-Market,Multifamily,1717 78th Street,Brooklyn,NY,11214,,,,2600.0,0.05,3.0,,,,1398000.0,537.692307692308,27960000.0,189.0,No,-73.9994047,40.6129139
https://www.crexi.com/properties/2206669/new-york-172-highlawn-ave,172 Highlawn Ave,On-Market,"Retail, Multifamily, Office, Mixed Use",172 Highlawn Ave,Brooklyn,NY,11223,,,,2560.0,,3.0,,,,1399888.0,546.83,,8.0,No,-73.9795802,40.6031985
https://www.crexi.com/properties/1993287/new-york-1764-79th-street,1764 79th Street,On-Market,Multifamily,1764 79th Street,New York,NY,11214,,,,5289.0,0.0608,6.0,,,,1688000.0,319.15295897145,27763157.8947368,109.0,No,-73.9993295,40.6114528
https://www.crexi.com/properties/2095572/new-york-55-brighton-10th-court-a,55 Brighton 10th Court A,On-Market,Multifamily,55 Brighton 10th Court #A,Brooklyn,NY,11235,,,,2156.0,0.04,2.0,,,,850000.0,394.248608534323,21250000.0,135.0,No,-73.9580131,40.5817103
https://www.crexi.com/properties/2094898/new-york-122-28th-avenue,122 28th Avenue,On-Market,Multifamily,122 28th Avenue,Brooklyn,NY,11214,,,,3318.0,0.05,,,,,1589888.0,479.170584689572,31797760.0,602.0,No,-73.9870662,40.5881111
https://www.crexi.com/properties/2169408/new-york-6314-23rd-avenue,6314 23rd Avenue,On-Market,Multifamily,6314 23rd Avenue,New York,NY,11204,,,,4800.0,0.0918,6.0,,,,2358000.0,491.25,25686274.5098039,37.0,No,-73.9785723,40.6134902
https://www.crexi.com/properties/2095019/new-york-170-avenue-o,170 Avenue O,On-Market,Multifamily,170 Avenue O,Brooklyn,NY,11204,,,,3120.0,0.05,3.0,,,,1699999.0,544.871474358974,33999980.0,374.0,No,-73.9785148,40.6106252
https://www.crexi.com/properties/2148658/new-york-1872-w-9th-street,1872 W 9th Street,On-Market,Multifamily,1872 W 9th Street,New York,NY,11223,,,,,0.0643,6.0,,,,1450000.0,,22550544.3234837,56.0,No,-73.9815089,40.60147
https://www.crexi.com/properties/2095768/new-york-8884-17th-avenue,8884 17th Avenue,On-Market,Multifamily,8884 17th Avenue,Brooklyn,NY,11214,,,,2015.0,0.07,2.0,,,,1449888.0,719.547394540943,20712685.7142857,86.0,No,-74.0110189,40.6030733
https://www.crexi.com/properties/2145550/new-york-2265-78th-street,2265 78th Street,On-Market,Multifamily,2265 78th Street,Brooklyn,NY,11214,,,,2538.0,0.05,3.0,,,,1600000.0,630.417651694247,32000000.0,60.0,No,-73.9873711,40.6056077
https://www.crexi.com/properties/2095742/new-york-2860-2864-w-16-street,2860-2864 W 16 Street,On-Market,Multifamily,2860-2864 W 16 Street,Brooklyn,NY,11224,,,,7096.0,0.11,7.0,,,,2500000.0,352.311161217587,22727272.7272727,95.0,Yes,-73.9839866,40.5775423
https://www.crexi.com/properties/660581/new-york-2076-coyle-st,2076 COYLE ST,On-Market,Multifamily,2076 Coyle St,Brooklyn,NY,11229,,,,2142.0,,3.0,466333.33,71566.0,5.12,1399000.0,653.13,,1513.0,No,-73.9374861,40.6013561
https://www.crexi.com/properties/2156310/new-york-4404-atlantic-avenue,4404 Atlantic Avenue,On-Market,Multifamily,4404 Atlantic Avenue,Brooklyn,NY,11224,,,,2250.0,0.06,2.0,,,,1290000.0,573.333333333333,21500000.0,56.0,No,-74.010239,40.5753974
https://www.crexi.com/properties/2095168/new-york-3704-lyme-avenue,3704 Lyme Avenue,On-Market,Multifamily,3704 Lyme Avenue,Brooklyn,NY,11224,,,,1892.0,0.05,,,,,918000.0,485.200845665962,18360000.0,247.0,No,-74.0035873,40.5773884
https://www.crexi.com/properties/2201423/new-york-1383-shore-parkway,1383 Shore Parkway,On-Market,Multifamily,1383 Shore Parkway,Brooklyn,NY,11214,,,,2000.0,0.05,2.0,,,,1299000.0,649.5,25980000.0,9.0,No,-74.006773,40.5994666
https://www.crexi.com/properties/1794639/new-york-485-w-broadway,485 W Broadway,On-Market,"Multifamily, Hospitality",485 W Broadway,Long Beach,NY,11561,,,,30140.0,0.23,87.0,,,,6040000.0,200.398142003981,26260869.5652174,241.0,No,-73.6779862,40.5848833
https://www.crexi.com/properties/1575866/new-york-135-st-marks,135 St Marks,On-Market,Multifamily,135 St Marks Pl,Staten Island,NY,10301,,,,6000.0,,5.0,399000.0,99203.0,4.97,1995000.0,332.5,,478.0,Yes,-74.0818231,40.6464191
https://www.crexi.com/properties/1506510/new-york-residential-two-family-detached,RESIDENTIAL TWO FAMILY DETACHED,On-Market,Multifamily,279 Stanley Ave,Staten Island,NY,10301,,,,2713.0,,1.0,1299000.0,,,1299000.0,478.81,,555.0,No,-74.0932978,40.6343224
https://www.crexi.com/properties/1727468/new-york-residential-single-family-detached,RESIDENTIAL SINGLE FAMILY DETACHED,On-Market,Multifamily,15 Woodvale Loop,Staten Island,NY,10309,,,,,,,,,,1899000.0,436.0,,317.0,No,-74.2063536,40.5151463
https://www.crexi.com/properties/1542337/new-york-residential-for-sale,RESIDENTIAL FOR SALE,On-Market,Multifamily,134 Finley Ave,Staten Island,NY,10306,,,,3400.0,,,,,,1280000.0,376.47,,513.0,No,-74.104333,40.562981
https://www.crexi.com/properties/866671/new-york-51117-osprey-ct,"5,11,17, Osprey Ct",On-Market,Multifamily,"5,11,17, Osprey Ct",Staten Island,NY,10308,,,,,,,,,,2500000.0,,,1185.0,No,-74.1504204,40.5535039
https://www.crexi.com/properties/1545573/new-york-willow-road-west,Willow Road West,On-Market,Multifamily,Willow Rd W,Staten Island,NY,10303,,,,70000.0,,54.0,185185.17,468000.0,,9999999.0,142.86,,501.0,No,-74.1460376401312,40.6285991180853
https://www.crexi.com/properties/1686627/new-york-27-unit-destabalized-apartment-building,27 UNIT DESTABALIZED APARTMENT BUILDING,On-Market,Multifamily,70 Hancock St,Staten Island,NY,10305,,,,13197.0,,27.0,281444.44,565000.0,7.44,7599000.0,575.81,,372.0,No,-74.095371,40.5885913
https://www.crexi.com/properties/2094849/new-york-1841-richmond-road,1841 Richmond Road,On-Market,Multifamily,1841 Richmond Road,Staten Island,NY,10306,,,,3160.0,0.18,2.0,,,,1450000.0,458.86,8055555.55555556,795.0,No,-74.10595,40.5856714
https://www.crexi.com/properties/2096275/new-york-1686-forest-ave,1686 Forest Ave,On-Market,"Mixed Use, Multifamily, Retail",1686 Forest Ave,Staten Island,NY,10302,,,,5978.0,,5.0,,,5.5,4650000.0,777.85212445634,,72.0,No,-74.1449644449367,40.6249208163239
https://www.crexi.com/properties/2144450/new-york-6384-amboy-road,6384 Amboy Road,On-Market,Multifamily,6384 Amboy Road,Staten Island,NY,10309,,,,1904.0,0.04,2.0,,,,749999.0,393.907037815126,18749975.0,61.0,No,-74.2165654,40.5221295
https://www.crexi.com/properties/1645105/new-york-residential-one-family-attached,RESIDENTIAL ONE FAMILY ATTACHED,On-Market,Multifamily,84A Lamped Loop,Staten Island,NY,10314,,,,1649.0,,,,,,525000.0,318.37,,429.0,No,-74.162688,40.585421
https://www.crexi.com/properties/1511621/new-york-residential-two-family-detached,RESIDENTIAL TWO FAMILY DETACHED,On-Market,Multifamily,262 Brighton Ave,Staten Island,NY,10301,,,,2840.0,,,,,,999000.0,351.76,,548.0,No,-74.094212,40.634882
https://www.crexi.com/properties/2172241/new-york-1023-van-duzer-street,1023 Van Duzer Street,On-Market,Multifamily,1023 Van Duzer Street,Staten Island,NY,10304,,,,1440.0,0.06,3.0,,,,899999.0,624.999305555556,14999983.3333333,34.0,No,-74.087228,40.614273
https://www.crexi.com/properties/1097237/new-york-74-cedar-ter,74 Cedar Ter,On-Market,Multifamily,74 Cedar Terrace,Staten Island,NY,10304,,,,2837.0,,2.0,,,,1200000.0,423.06,,919.0,No,-74.0892628,40.613279
https://www.crexi.com/properties/1496433/new-york-condo-for-sale,CONDO FOR SALE,On-Market,Multifamily,76 Saturn Ln,Staten Island,NY,10314,,,,,,,,,,489000.0,,,569.0,No,-74.158052,40.5830089
https://www.crexi.com/properties/2095700/new-york-203-center-street,203 Center Street,On-Market,Multifamily,203 Center Street,Staten Island,NY,10306,,,,2420.0,0.23,3.0,,,,1295000.0,535.123966942149,5630434.7826087,102.0,No,-74.14199,40.5718253
https://www.crexi.com/properties/1834245/new-york-york-ave-multifamily,York Ave Multifamily,On-Market,Multifamily,238 York Ave,Staten Island,NY,10301,,,,3700.0,,4.0,362500.0,105700.0,7.29,1450000.0,391.89,,211.0,No,-74.08799428,40.64028454
https://www.crexi.com/properties/1748210/new-york-residential-single-family-detached,RESIDENTIAL SINGLE FAMILY DETACHED,On-Market,Multifamily,485 Woodrow Rd,Staten Island,NY,10312,,,,3000.0,,,,,,983000.0,327.0,,275.0,No,-74.185395,40.553424
https://www.crexi.com/properties/1525424/new-york-waterfront-102-family-with-parking,Waterfront 102 Family with Parking,On-Market,Multifamily,1 Scarboro Ave,Staten Island,NY,10305,,,,98864.0,,102.0,480392.16,2687340.0,5.48,49000000.0,495.63,,512.0,No,-74.0647521,40.6127181
https://www.crexi.com/properties/2196251/new-york-90-vreeland-street-staten-island-ny-10302,"90 Vreeland Street, Staten Island, NY 10302",On-Market,Multifamily,90 Vreeland St,Staten Island,NY,10302,,,,,,16.0,1967.0,399134.0,15.1,1399000.0,,,14.0,No,-74.1329496670328,40.6373096167882
https://www.crexi.com/properties/1535257/new-york-646-662-port-richmond-avenue,646-662 Port Richmond Avenue,On-Market,Multifamily,646-662 Port Richmond Avenue,Staten Island,NY,10302,,,,27152.0,,43.0,,610477.0,,10700000.0,394.08,,518.0,No,-74.1423518,40.6276713
https://www.crexi.com/properties/1756691/new-york-79-kermit-ave,79 Kermit Ave,On-Market,"Mixed Use, Multifamily, Office, Retail",79 Kermit Ave,Staten Island,NY,10305,,,,2700.0,,,,,,725000.0,268.52,,263.0,No,-74.083941,40.5971573
